"Name","Impressions per 7 days","Uniques per 7 days","Average CPM"
"736x90","290614","22182","0.09683087468147278"
"726x60","290333","3650","0.0694393515586853"
"737x90","287244","20216","0.36195501685142517"
"569x320","282471","11231","8.824333190917969"
"598x280","280505","16847","0.11305303126573563"
"854x534","280224","11793","8.318897247314453"
"328x250","268993","97432","1.0206995010375977"
"300x251","264781","38748","4.819140434265137"
"748x110","260289","280","0.9350279569625854"
"614x60","259446","50260","0.21046538650989532"
"398x280","258604","31728","0.12625406682491302"
"335x250","254392","60088","0.46911704540252686"
"360x600","254111","12354","4.5969719886779785"
"480x50","253831","2246","0.5433295369148254"
"375x58","243441","7581","0.2678546607494354"
"1000x90","242599","16847","0.17721062898635864"
"650x250","241195","40152","0.46579745411872864"
"320x160","240072","136462","0.5986549258232117"
"300x300","236983","34536","1.291919469833374"
"346x280","236141","67669","0.30787158012390137"
"601x250","234175","41556","0.012889687903225422"
"258x250","231648","7862","0.22991517186164856"
"350x1301","226875","6458","0.03172026947140694"
"394x280","225190","40152","0.7637158036231995"
"924x90","224067","6458","0.3700375556945801"
"667x60","223506","27517","0.17649495601654053"
"313x60","223225","50260","0.4764527976512909"
"315x250","222944","18251","0.5774180889129639"
"483x90","222663","1684","0.30726611614227295"
"1440x2560","219294","0","2.7312376499176025"
"300x168","214520","10950","1.1923034191131592"
"360x670","210309","14039","7.600987911224365"
"1020x90","209747","4211","0.4589826464653015"
"424x353","208343","17408","0.468059241771698"
"1080x1920","204974","63457","6.1712565422058105"
"952x90","203570","7019","0.2845793664455414"
"911x90","201604","561","0.06307785212993622"
"304x250","201604","31167","0.2107938677072525"
"300x90","201043","21058","1.1952931880950928"
"432x768","201043","6738","3.428072690963745"
"382x280","195427","29763","0.3930460214614868"
"480x60","195146","21901","0.5223454236984253"
"588x60","192338","5896","0.4038541316986084"
"541x280","191777","1123","0.34077614545822144"
"320x51","191777","65984","3.149487257003784"
"534x60","191777","15724","0.31407034397125244"
"834x90","187565","4211","0.5335628390312195"
"332x250","187284","7581","0.10193400830030441"
"592x280","186723","22182","0.1784060299396515"
"340x250","185599","40433","0.4310438334941864"
"348x280","181388","49418","1.1186531782150269"
"320x52","181388","5334","0.36693501472473145"
"571x60","180826","14039","0.15863347053527832"
"920x90","178299","14320","0.19233068823814392"
"10x10","175772","28640","45.88606262207031"
"337x280","174368","8985","0.2421739250421524"
"960x120","172402","8704","0.2734527885913849"
"720x60","171560","38467","0.9085106253623962"
"379x280","170999","1684","0.31223276257514954"
"315x60","169875","8423","0.07834704965353012"
"650x60","169033","16004","3.0303821563720703"
"340x1267","169033","69354","0.4379900097846985"
"180x280","169033","93782","0.5814452767372131"
"280x250","168191","46048","0.19886474311351776"
"338x280","166506","59807","0.7185665965080261"
"320x96","164540","99117","0.8420819640159607"
"383x640","164260","3650","4.364853382110596"
"540x90","160890","7581","0.40989530086517334"
"290x250","159486","50541","0.31042250990867615"
"1600x2560","158644","0","2.972055435180664"
"918x600","158082","842","5.587692737579346"
"391x280","158082","2246","0.2796802520751953"
"343x280","154151","36502","1.0259746313095093"
"540x280","150501","3931","0.2268284410238266"
"700x60","150220","17689","0.28446730971336365"
"395x280","149378","4211","0.21616528928279877"
"320x522","149097","5054","17.435327529907227"
"364x280","147693","23024","1.0313118696212769"
"718x60","145166","11512","0.09241777658462524"
"699x393","143201","4773","5.692176342010498"
"320x347","141235","29201","0.061848901212215424"
"392x50","140954","4492","1.2747606039047241"
"728x138","140674","14039","0.17467066645622253"
"345x250","140112","31167","0.38889777660369873"
"750x90","139550","19374","0.4079476594924927"
"742x90","138989","1403","0.053777746856212616"
"220x756","137304","49980","0.375460147857666"
"12x12","135058","17408","58.505130767822266"
"480x732","135058","3369","13.6776123046875"
"597x360","134496","561","11.201753616333008"
"660x60","133935","23024","0.48448634147644043"
"541x914","133654","1684","7.361827850341797"
"354x280","132812","39310","0.4769768714904785"
"216x54","131969","14881","0.7992127537727356"
"329x250","131408","1965","0.41985005140304565"
"400x50","131408","3650","0.301260769367218"
"310x60","131127","54753","0.4461669921875"
"570x320","131127","9265","5.736852645874023"
"1024x720","130846","8423","7.527721405029297"
"663x280","130846","5334","0.2344205379486084"
"770x90","126073","17408","0.22527843713760376"
"320x180","125230","25551","4.4803361892700195"
"347x280","124388","28359","0.24069979786872864"
"1700x650","124388","26674","2.5"
"88x31","122984","16004","50.71259307861328"
"328x50","122703","21339","0.36313503980636597"
"657x60","122422","3369","0.16201834380626678"
"375x55","120738","4492","0.2724185585975647"
"353x280","120738","43241","0.5984418988227844"
"300x57","120176","8142","0.25128504633903503"
"200x90","119895","21620","0.27601879835128784"
"729x90","118772","10108","0.05905437096953392"
